from_city,to_city,distance_mi,drive_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
miami,deerfield-beach,43,47,miami-to-deerfield-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,deerfield-beach,43,47,miami-to-deerfield-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,deerfield-beach,43,47,miami-to-deerfield-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,deerfield-beach,43,47,miami-to-deerfield-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,lauderhill,29,31,miami-to-lauderhill,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,lauderhill,29,31,miami-to-lauderhill,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,lauderhill,29,31,miami-to-lauderhill,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,lauderhill,29,31,miami-to-lauderhill,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,lauderhill,29,31,miami-to-lauderhill,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,north-lauderdale,35,38,miami-to-north-lauderdale,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,north-lauderdale,35,38,miami-to-north-lauderdale,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,north-lauderdale,35,38,miami-to-north-lauderdale,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,north-lauderdale,35,38,miami-to-north-lauderdale,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,north-lauderdale,35,38,miami-to-north-lauderdale,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,hallandale-beach,17,18,miami-to-hallandale-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hallandale-beach,17,18,miami-to-hallandale-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hallandale-beach,17,18,miami-to-hallandale-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,hallandale-beach,17,18,miami-to-hallandale-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,hallandale-beach,17,18,miami-to-hallandale-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,dania-beach,22,24,miami-to-dania-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,dania-beach,22,24,miami-to-dania-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,dania-beach,22,24,miami-to-dania-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,dania-beach,22,24,miami-to-dania-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,dania-beach,22,24,miami-to-dania-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,oakland-park,31,34,miami-to-oakland-park,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,oakland-park,31,34,miami-to-oakland-park,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,oakland-park,31,34,miami-to-oakland-park,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,oakland-park,31,34,miami-to-oakland-park,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,oakland-park,31,34,miami-to-oakland-park,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,wilton-manors,31,33,miami-to-wilton-manors,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,wilton-manors,31,33,miami-to-wilton-manors,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,wilton-manors,31,33,miami-to-wilton-manors,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,wilton-manors,31,33,miami-to-wilton-manors,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,wilton-manors,31,33,miami-to-wilton-manors,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,lauderdale-lakes,31,34,miami-to-lauderdale-lakes,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,lauderdale-lakes,31,34,miami-to-lauderdale-lakes,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,lauderdale-lakes,31,34,miami-to-lauderdale-lakes,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
