route_type,origin_name,origin_zip,destination_name,destination_zip,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
long_distance,miami,33101,north-lauderdale,33068,32.4,38,,miami-to-north-lauderdale,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,north-lauderdale,33068,32.4,38,,miami-to-north-lauderdale,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,hallandale-beach,33009,17.0,22,,miami-to-hallandale-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,hallandale-beach,33009,17.0,22,,miami-to-hallandale-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,hallandale-beach,33009,17.0,22,,miami-to-hallandale-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,hallandale-beach,33009,17.0,22,,miami-to-hallandale-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,hallandale-beach,33009,17.0,22,,miami-to-hallandale-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,dania-beach,33004,22.0,29,,miami-to-dania-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,dania-beach,33004,22.0,29,,miami-to-dania-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,dania-beach,33004,22.0,29,,miami-to-dania-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,dania-beach,33004,22.0,29,,miami-to-dania-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,dania-beach,33004,22.0,29,,miami-to-dania-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,oakland-park,33334,31.5,34,,miami-to-oakland-park,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,oakland-park,33334,31.5,34,,miami-to-oakland-park,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,oakland-park,33334,31.5,34,,miami-to-oakland-park,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,oakland-park,33334,31.5,34,,miami-to-oakland-park,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,oakland-park,33334,31.5,34,,miami-to-oakland-park,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,wilton-manors,33305,30.2,39,,miami-to-wilton-manors,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,wilton-manors,33305,30.2,39,,miami-to-wilton-manors,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,wilton-manors,33305,30.2,39,,miami-to-wilton-manors,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,wilton-manors,33305,30.2,39,,miami-to-wilton-manors,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,wilton-manors,33305,30.2,39,,miami-to-wilton-manors,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,lauderdale-lakes,33311,27.6,31,,miami-to-lauderdale-lakes,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lauderdale-lakes,33311,27.6,31,,miami-to-lauderdale-lakes,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lauderdale-lakes,33311,27.6,31,,miami-to-lauderdale-lakes,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,lauderdale-lakes,33311,27.6,31,,miami-to-lauderdale-lakes,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,lauderdale-lakes,33311,27.6,31,,miami-to-lauderdale-lakes,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,lighthouse-point,33064,38.0,41,,miami-to-lighthouse-point,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lighthouse-point,33064,38.0,41,,miami-to-lighthouse-point,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lighthouse-point,33064,38.0,41,,miami-to-lighthouse-point,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,lighthouse-point,33064,38.0,41,,miami-to-lighthouse-point,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,lighthouse-point,33064,38.0,41,,miami-to-lighthouse-point,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,parkland,33067,43.3,46,,miami-to-parkland,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,parkland,33067,43.3,46,,miami-to-parkland,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,parkland,33067,43.3,46,,miami-to-parkland,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,parkland,33067,43.3,46,,miami-to-parkland,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,parkland,33067,43.3,46,,miami-to-parkland,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,lauderdale-by-the-sea,33308,33.0,39,,miami-to-lauderdale-by-the-sea,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
